,0,1,2
616,9,40,144.30869689661813
617,9,41,140.0
618,9,42,144.30869689661813
619,9,43,156.52475842498527
620,9,44,175.0
621,9,45,197.9898987322333
622,9,46,224.1093483101497
623,9,47,252.38858928247924
624,9,48,178.46568297574746
625,9,49,175.0
626,9,50,178.46568297574746
627,9,51,188.48076824970764
628,9,52,204.08331631958552
629,9,53,224.1093483101497
630,9,54,247.48737341529164
631,9,55,273.3587386567329
632,9,56,212.8966885604377
633,9,57,210.0
634,9,58,212.8966885604377
635,9,59,221.35943621178654
636,9,60,234.7871376374779
637,9,61,252.38858928247924
638,9,62,273.3587386567329
639,9,63,296.98484809834997
640,10,0,78.26237921249263
641,10,1,49.49747468305833
642,10,2,35.0
643,10,3,49.49747468305833
644,10,4,78.26237921249263
645,10,5,110.67971810589327
646,10,6,144.30869689661813
647,10,7,178.46568297574746
648,10,8,70.0
649,10,9,35.0
650,10,10,0.0
651,10,11,35.0
652,10,12,70.0
653,10,13,105.0
654,10,14,140.0
655,10,15,175.0
656,10,16,78.26237921249263
657,10,17,49.49747468305833
658,10,18,35.0
659,10,19,49.49747468305833
660,10,20,78.26237921249263
661,10,21,110.67971810589327
662,10,22,144.30869689661813
663,10,23,178.46568297574746
664,10,24,98.99494936611666
665,10,25,78.26237921249263
666,10,26,70.0
667,10,27,78.26237921249263
668,10,28,98.99494936611666
669,10,29,126.19429464123962
670,10,30,156.52475842498527
671,10,31,188.48076824970764
672,10,32,126.19429464123962
673,10,33,110.67971810589327
674,10,34,105.0
675,10,35,110.67971810589327
676,10,36,126.19429464123962
677,10,37,148.49242404917499
678,10,38,175.0
679,10,39,204.08331631958552
680,10,40,156.52475842498527
681,10,41,144.30869689661813
682,10,42,140.0
683,10,43,144.30869689661813
684,10,44,156.52475842498527
685,10,45,175.0
686,10,46,197.9898987322333
687,10,47,224.1093483101497
688,10,48,188.48076824970764
689,10,49,178.46568297574746
690,10,50,175.0
691,10,51,178.46568297574746
692,10,52,188.48076824970764
693,10,53,204.08331631958552
694,10,54,224.1093483101497
695,10,55,247.48737341529164
696,10,56,221.35943621178654
697,10,57,212.8966885604377
698,10,58,210.0
699,10,59,212.8966885604377
700,10,60,221.35943621178654
701,10,61,234.7871376374779
702,10,62,252.38858928247924
703,10,63,273.3587386567329
704,11,0,110.67971810589327
705,11,1,78.26237921249263
706,11,2,49.49747468305833
707,11,3,35.0
708,11,4,49.49747468305833
709,11,5,78.26237921249263
710,11,6,110.67971810589327
711,11,7,144.30869689661813
712,11,8,105.0
713,11,9,70.0
714,11,10,35.0
715,11,11,0.0
716,11,12,35.0
717,11,13,70.0
718,11,14,105.0
719,11,15,140.0
720,11,16,110.67971810589327
721,11,17,78.26237921249263
722,11,18,49.49747468305833
723,11,19,35.0
724,11,20,49.49747468305833
725,11,21,78.26237921249263
726,11,22,110.67971810589327
727,11,23,144.30869689661813
728,11,24,126.19429464123962
729,11,25,98.99494936611666
730,11,26,78.26237921249263
731,11,27,70.0
732,11,28,78.26237921249263
733,11,29,98.99494936611666
734,11,30,126.19429464123962
735,11,31,156.52475842498527
736,11,32,148.49242404917499
737,11,33,126.19429464123962
738,11,34,110.67971810589327
739,11,35,105.0
740,11,36,110.67971810589327
741,11,37,126.19429464123962
742,11,38,148.49242404917499
743,11,39,175.0
744,11,40,175.0
745,11,41,156.52475842498527
746,11,42,144.30869689661813
747,11,43,140.0
748,11,44,144.30869689661813
749,11,45,156.52475842498527
750,11,46,175.0
751,11,47,197.9898987322333
752,11,48,204.08331631958552
753,11,49,188.48076824970764
754,11,50,178.46568297574746
755,11,51,175.0
756,11,52,178.46568297574746
757,11,53,188.48076824970764
758,11,54,204.08331631958552
759,11,55,224.1093483101497
760,11,56,234.7871376374779
761,11,57,221.35943621178654
762,11,58,212.8966885604377
763,11,59,210.0
764,11,60,212.8966885604377
765,11,61,221.35943621178654
766,11,62,234.7871376374779
767,11,63,252.38858928247924
768,12,0,144.30869689661813
769,12,1,110.67971810589327
770,12,2,78.26237921249263
771,12,3,49.49747468305833
772,12,4,35.0
773,12,5,49.49747468305833
774,12,6,78.26237921249263
775,12,7,110.67971810589327
776,12,8,140.0
777,12,9,105.0
778,12,10,70.0
779,12,11,35.0
780,12,12,0.0
781,12,13,35.0
782,12,14,70.0
783,12,15,105.0
784,12,16,144.30869689661813
785,12,17,110.67971810589327
786,12,18,78.26237921249263
787,12,19,49.49747468305833
788,12,20,35.0
789,12,21,49.49747468305833
790,12,22,78.26237921249263
791,12,23,110.67971810589327
792,12,24,156.52475842498527
793,12,25,126.19429464123962
794,12,26,98.99494936611666
795,12,27,78.26237921249263
796,12,28,70.0
797,12,29,78.26237921249263
798,12,30,98.99494936611666
799,12,31,126.19429464123962
800,12,32,175.0
801,12,33,148.49242404917499
802,12,34,126.19429464123962
803,12,35,110.67971810589327
804,12,36,105.0
